Date      ,CAPE
1891-03-01,15.05162336
1891-04-01,15.40894513
1891-05-01,15.56649523
1891-06-01,15.6582114
1891-07-01,15.61791924
1891-08-01,16.16399851
1891-09-01,17.71126141
1891-10-01,17.71656859
1891-11-01,17.67173917
1891-12-01,18.206303
1892-01-01,19.0163884
1892-02-01,19.03642504
1892-03-01,19.73805485
1892-04-01,19.94326524
1892-05-01,19.91146521
1892-06-01,19.7692844
1892-07-01,19.21188643
1892-08-01,19.2043038
1892-09-01,18.69427181
1892-10-01,19.04021492
1892-11-01,18.46331269
1892-12-01,18.01300925
1893-01-01,17.65664371
1893-02-01,17.12519385
1893-03-01,16.89958903
1893-04-01,17.10254158
1893-05-01,15.78098731
1893-06-01,15.41650386
1893-07-01,14.34985418
1893-08-01,14.58805654
1893-09-01,15.01206908
1893-10-01,15.27179415
1893-11-01,15.9424114
1893-12-01,15.61269434
1894-01-01,15.73986935
1894-02-01,16.2027366
1894-03-01,17.18762209
1894-04-01,17.43484908
1894-05-01,16.80875192
1894-06-01,16.6063197
1894-07-01,16.28967971
1894-08-01,16.45777707
1894-09-01,16.52231544
1894-10-01,16.50290421
1894-11-01,16.54278445
1894-12-01,16.67246633
1895-01-01,16.52444394
1895-02-01,16.33123769
1895-03-01,16.36462543
1895-04-01,16.38754382
1895-05-01,17.08036955
1895-06-01,17.20741354
1895-07-01,17.54601465
1895-08-01,18.07407255
1895-09-01,18.20033595
1895-10-01,17.94470662
1895-11-01,17.34299899
1895-12-01,16.54841516
1896-01-01,16.57622483
1896-02-01,17.51540335
1896-03-01,17.23236271
1896-04-01,17.64369938
1896-05-01,17.82826689
1896-06-01,17.77757862
1896-07-01,16.6371001
1896-08-01,15.70337055
1896-09-01,16.54433994
1896-10-01,16.4388668
1896-11-01,17.08942524
1896-12-01,16.50140418
1897-01-01,17.02652128
1897-02-01,16.89402588
1897-03-01,16.95803072
1897-04-01,16.69685743
1897-05-01,17.04775513
1897-06-01,17.85049728
1897-07-01,18.65197576
1897-08-01,19.00639601
1897-09-01,19.37237029
1897-10-01,19.02803122
1897-11-01,18.3584481
1897-12-01,18.74875766
1898-01-01,19.24900002
1898-02-01,18.91813189
1898-03-01,18.04217492
1898-04-01,17.70508943
1898-05-01,17.59563527
1898-06-01,19.54481748
1898-07-01,19.85894301
1898-08-01,20.54491518
1898-09-01,20.44273286
1898-10-01,19.94719983
1898-11-01,20.52741632
1898-12-01,21.40363199
1899-01-01,22.93280742
1899-02-01,23.04811755
1899-03-01,23.27968225
1899-04-01,23.15242153
1899-05-01,22.09126936
1899-06-01,21.21209193
1899-07-01,21.56142563
1899-08-01,21.72623737
1899-09-01,20.59114051
1899-10-01,20.15371346
1899-11-01,20.19645752
1899-12-01,18.51264964
1900-01-01,18.67427536
1900-02-01,18.70379742
1900-03-01,18.77579342
1900-04-01,18.93640203
1900-05-01,18.40319702
1900-06-01,17.99271158
1900-07-01,17.68954547
1900-08-01,18.06961467
1900-09-01,17.34187415
1900-10-01,18.10239878
1900-11-01,19.4195846
1900-12-01,20.74405116
1901-01-01,20.97858183
1901-02-01,21.67914985
1901-03-01,22.34758395
1901-04-01,24.40971699
1901-05-01,23.06401268
1901-06-01,25.23846621
1901-07-01,23.14484855
1901-08-01,23.07717771
1901-09-01,22.59046832
1901-10-01,22.25290162
1901-11-01,22.37507478
1901-12-01,21.68021514
1902-01-01,22.3402908
1902-02-01,22.45995745
1902-03-01,22.41065229
1902-04-01,22.8231087
1902-05-01,22.42795449
1902-06-01,21.9637423
1902-07-01,22.38568659
1902-08-01,23.16867183
1902-09-01,22.85656638
1902-10-01,20.6044254
1902-11-01,20.40854126
1902-12-01,19.63323213
1903-01-01,20.31813205
1903-02-01,20.10705152
1903-03-01,19.88456038
1903-04-01,18.9800226
1903-05-01,18.95485872
1903-06-01,17.81855172
1903-07-01,16.91817841
1903-08-01,16.29911879
1903-09-01,15.65435912
1903-10-01,15.25294383
1903-11-01,15.40787753
1903-12-01,16.04289414
1904-01-01,15.86183391
1904-02-01,15.02149838
1904-03-01,15.08193018
1904-04-01,15.56549061
1904-05-01,15.5258209
1904-06-01,15.47443364
1904-07-01,16.03640163
1904-08-01,16.30465198
1904-09-01,16.74260005
1904-10-01,17.63319737
1904-11-01,18.07620022
1904-12-01,18.15967912
1905-01-01,18.45985203
1905-02-01,19.16899638
1905-03-01,19.83150607
1905-04-01,19.48292752
1905-05-01,18.62948751
1905-06-01,18.73586239
1905-07-01,19.20588331
1905-08-01,19.57330843
1905-09-01,19.74349242
1905-10-01,19.89739481
1905-11-01,19.44352569
1905-12-01,19.57796081
1906-01-01,20.13240226
1906-02-01,19.86675256
1906-03-01,19.25945302
1906-04-01,18.876205
1906-05-01,18.05404446
1906-06-01,18.17266638
1906-07-01,18.19520014
1906-08-01,18.96725148
1906-09-01,19.20099368
1906-10-01,18.09538091
1906-11-01,18.14185165
1906-12-01,17.66000367
1907-01-01,17.21891385
1907-02-01,16.21707129
1907-03-01,14.68754526
1907-04-01,14.66970991
1907-05-01,13.79010715
1907-06-01,13.14426995
1907-07-01,13.58500736
1907-08-01,12.5134716
1907-09-01,12.32856966
1907-10-01,10.83184015
1907-11-01,10.59117756
1907-12-01,11.33330624
1908-01-01,11.90296863
1908-02-01,11.5548463
1908-03-01,11.98466266
1908-04-01,12.44888916
1908-05-01,13.07845136
1908-06-01,13.05168413
1908-07-01,13.3454871
1908-08-01,13.8842329
1908-09-01,13.70144227
1908-10-01,13.69081036
1908-11-01,14.43501409
1908-12-01,14.58248291
1909-01-01,14.76441846
1909-02-01,14.16715752
1909-03-01,14.33605838
1909-04-01,14.6451986
1909-05-01,14.95350979
1909-06-01,15.04044468
1909-07-01,15.23150324
1909-08-01,15.41758071
1909-09-01,15.25444644
1909-10-01,14.9888453
1909-11-01,14.74563118
1909-12-01,14.75063849
1910-01-01,14.54788504
1910-02-01,14.0020379
1910-03-01,14.05000697
1910-04-01,13.55988362
1910-05-01,13.56879229
1910-06-01,13.0196573
1910-07-01,12.34258126
1910-08-01,12.74505515
1910-09-01,12.9371611
1910-10-01,13.91886666
1910-11-01,14.16452318
1910-12-01,13.74147842
1911-01-01,14.04921518
1911-02-01,14.72148847
1911-03-01,14.37062322
1911-04-01,14.75293542
1911-05-01,15.04766059
1911-06-01,15.32835568
1911-07-01,15.08311058
1911-08-01,13.89979067
1911-09-01,12.99795398
1911-10-01,13.06647285
1911-11-01,13.72799759
1911-12-01,13.92925842
1912-01-01,13.79495263
1912-02-01,13.53163437
1912-03-01,13.63976917
1912-04-01,13.65439269
1912-05-01,13.64550069
1912-06-01,13.7854174
1912-07-01,13.80287665
1912-08-01,13.98476176
1912-09-01,13.926285
1912-10-01,13.9050927
1912-11-01,13.74954102
1912-12-01,13.38899945
1913-01-01,13.14808879
1913-02-01,12.68296052
1913-03-01,12.44345352
1913-04-01,12.43306708
1913-05-01,12.22140106
1913-06-01,11.49196285
1913-07-01,11.5340228
1913-08-01,11.84684054
1913-09-01,11.84331683
1913-10-01,11.47149024
1913-11-01,11.07253785
1913-12-01,11.17404087
1914-01-01,11.63609211
1914-02-01,11.91023388
1914-03-01,11.68552602
1914-04-01,11.52266254
1914-05-01,11.47900869
1914-06-01,11.42871517
1914-07-01,10.69434518
1914-08-01,10.49204627
1914-09-01,10.5004973
1914-10-01,10.61275947
1914-11-01,10.51691764
1914-12-01,10.17221799
1915-01-01,10.3598342
1915-02-01,10.32978621
1915-03-01,10.70701319
1915-04-01,11.40112379
1915-05-01,11.02692988
1915-06-01,11.15426219
1915-07-01,11.11362939
1915-08-01,11.58483164
1915-09-01,12.01157076
1915-10-01,12.54907613
1915-11-01,12.85771445
1915-12-01,12.8784446
1916-01-01,12.54356369
1916-02-01,12.35465233
1916-03-01,12.1770528
1916-04-01,11.90648178
1916-05-01,12.02625667
1916-06-01,11.99596122
1916-07-01,11.79116528
1916-08-01,11.73208264
1916-09-01,11.94455242
1916-10-01,12.04574176
1916-11-01,12.0532304
1916-12-01,11.41355919
1917-01-01,10.99236143
1917-02-01,10.06318774
1917-03-01,10.32715708
1917-04-01,9.644531197
1917-05-01,9.138988813
1917-06-01,9.14822026
1917-07-01,9.003472377
1917-08-01,8.572680467
1917-09-01,7.950823264
1917-10-01,7.387133711
1917-11-01,6.753013605
1917-12-01,6.412593898
1918-01-01,6.640646029
1918-02-01,6.784343552
1918-03-01,6.68635576
1918-04-01,6.520727731
1918-05-01,6.582363232
1918-06-01,6.496291319
1918-07-01,6.371324094
1918-08-01,6.303073761
1918-09-01,6.149170562
1918-10-01,6.290515321
1918-11-01,6.333327495
1918-12-01,6.134580411
1919-01-01,6.09846764
1919-02-01,6.239692771
1919-03-01,6.356074005
1919-04-01,6.456139556
1919-05-01,6.829002261
1919-06-01,7.021615215
1919-07-01,7.052837165
1919-08-01,6.479131102
1919-09-01,6.558481672
1919-10-01,6.7947042
1919-11-01,6.467022574
1919-12-01,6.160717034
1920-01-01,5.989667771
1920-02-01,5.45534765
1920-03-01,5.798822728
1920-04-01,5.599858726
1920-05-01,5.188950462
1920-06-01,5.04363968
1920-07-01,5.08059292
1920-08-01,5.020701078
1920-09-01,5.29716277
1920-10-01,5.351177393
1920-11-01,5.126407931
1920-12-01,4.784241045
1921-01-01,5.122184147
1921-02-01,5.274857191
1921-03-01,5.192348159
1921-04-01,5.297085923
1921-05-01,5.609469225
1921-06-01,5.216110961
1921-07-01,5.197779362
1921-08-01,5.161294823
1921-09-01,5.377524425
1921-10-01,5.479257678
1921-11-01,5.838196993
1921-12-01,6.114158849
1922-01-01,6.28708729
1922-02-01,6.461305873
1922-03-01,6.821387249
1922-04-01,7.27325339
1922-05-01,7.593467259
1922-06-01,7.557987352
1922-07-01,7.602095046
1922-08-01,8.02003069
1922-09-01,8.265083002
1922-10-01,8.432151999
1922-11-01,7.998253772
1922-12-01,7.964679865
1923-01-01,8.154200483
1923-02-01,8.533360579
1923-03-01,8.700737501
1923-04-01,8.372809668
1923-05-01,8.000497868
1923-06-01,7.671825283
1923-07-01,7.345985119
1923-08-01,7.441783174
1923-09-01,7.458183867
1923-10-01,7.317400396
1923-11-01,7.546327912
1923-12-01,7.809739145
1924-01-01,8.072249446
1924-02-01,8.162066221
1924-03-01,8.058077044
1924-04-01,7.923620348
1924-05-01,7.899698331
1924-06-01,8.051676946
1924-07-01,8.37771214
1924-08-01,8.717418309
1924-09-01,8.581670375
1924-10-01,8.419491036
1924-11-01,8.888327361
1924-12-01,9.31063968
1925-01-01,9.692618852
1925-02-01,9.830804723
1925-03-01,9.518537539
1925-04-01,9.476566788
1925-05-01,9.729007694
1925-06-01,9.79638618
1925-07-01,9.963993892
1925-08-01,10.11091846
1925-09-01,10.35924761
1925-10-01,10.718496
1925-11-01,10.88631744
1925-12-01,11.14736524
1926-01-01,11.34096619
1926-02-01,11.38943567
1926-03-01,10.71235206
1926-04-01,10.39558769
1926-05-01,10.57515846
1926-06-01,11.19797974
1926-07-01,11.86969406
1926-08-01,12.48880822
1926-09-01,12.69261482
1926-10-01,12.42651752
1926-11-01,12.61525121
1926-12-01,13.00905273
1927-01-01,13.18593063
1927-02-01,13.63396613
1927-03-01,14.03325751
1927-04-01,14.48822221
1927-05-01,15.00234706
1927-06-01,15.12033348
1927-07-01,15.82080259
1927-08-01,16.86286185
1927-09-01,17.81872371
1927-10-01,17.53723785
1927-11-01,18.13130143
1927-12-01,18.64662402
1928-01-01,18.80612857
1928-02-01,18.86885052
1928-03-01,19.9434178
1928-04-01,21.25790925
1928-05-01,21.83273218
1928-06-01,20.91342158
1928-07-01,21.08190544
1928-08-01,21.7621315
1928-09-01,23.00464945
1928-10-01,23.57834424
1928-11-01,25.12198457
1928-12-01,25.30159103
1929-01-01,27.08319962
1929-02-01,27.1316728
1929-03-01,27.67574844
1929-04-01,27.56845447
1929-05-01,27.69858688
1929-06-01,27.93546783
1929-07-01,29.93328941
1929-08-01,31.48031325
1929-09-01,32.5637886
1929-10-01,28.96106716
1929-11-01,21.171036
1929-12-01,22.00737318
1930-01-01,22.31072429
1930-02-01,23.69711775
1930-03-01,24.58660779
1930-04-01,25.84343686
1930-05-01,24.30976063
1930-06-01,21.86689933
1930-07-01,21.54879759
1930-08-01,21.30060224
1930-09-01,21.07258179
1930-10-01,18.21487015
1930-11-01,16.93971138
1930-12-01,16.05500186
1931-01-01,16.70547873
1931-02-01,18.16149244
1931-03-01,18.57956103
1931-04-01,16.87231533
1931-05-01,15.40154
1931-06-01,15.06247607
1931-07-01,15.5167501
1931-08-01,15.0062766
1931-09-01,12.81774526
1931-10-01,11.14592641
1931-11-01,11.4156003
1931-12-01,9.306032868
1932-01-01,9.312406455
1932-02-01,9.336932251
1932-03-01,9.413065028
1932-04-01,7.192233196
1932-05-01,6.39085729
1932-06-01,5.565059372
1932-07-01,5.838763672
1932-08-01,8.834653205
1932-09-01,9.761168564
1932-10-01,8.478606608
1932-11-01,8.463309567
1932-12-01,8.257073999
1933-01-01,8.728046163
1933-02-01,7.826051751
1933-03-01,7.874681323
1933-04-01,8.723101646
1933-05-01,11.24965125
1933-06-01,13.09887552
1933-07-01,13.75430449
1933-08-01,12.99952705
1933-09-01,12.92292061
1933-10-01,11.69625357
1933-11-01,12.01176619
1933-12-01,12.28180162
1934-01-01,13.02511983
1934-02-01,13.9269229
1934-03-01,13.25453763
1934-04-01,13.51838928
1934-05-01,12.18158324
1934-06-01,12.28772648
1934-07-01,11.74152423
1934-08-01,11.31502598
1934-09-01,10.90995408
1934-10-01,11.10835261
1934-11-01,11.44880869
1934-12-01,11.63933757
1935-01-01,11.49590797
1935-02-01,11.08781216
1935-03-01,10.3982724
1935-04-01,11.10421021
1935-05-01,11.98557668
1935-06-01,12.53951932
1935-07-01,13.20213794
1935-08-01,14.10505685
1935-09-01,14.4188917
1935-10-01,14.82623263
1935-11-01,16.12960516
1935-12-01,16.15919271
1936-01-01,17.08735985
1936-02-01,18.10453646
1936-03-01,18.6604782
1936-04-01,18.71899967
1936-05-01,17.75019252
1936-06-01,18.39300107
1936-07-01,19.36046451
1936-08-01,19.62306016
1936-09-01,19.86202424
1936-10-01,20.91309185
1936-11-01,21.49976534
1936-12-01,21.12566355
1937-01-01,21.61874158
1937-02-01,22.24422155
1937-03-01,22.04219702
1937-04-01,20.55657946
1937-05-01,19.47417469
1937-06-01,18.71165996
1937-07-01,19.64672328
1937-08-01,19.80698258
1937-09-01,16.84788286
1937-10-01,14.36165957
1937-11-01,13.15811917
1937-12-01,13.00848303
1938-01-01,13.51146192
1938-02-01,13.26307624
1938-03-01,12.37728623
1938-04-01,11.78951772
1938-05-01,11.99227593
1938-06-01,12.28896631
1938-07-01,14.77032802
1938-08-01,14.90358851
1938-09-01,14.28233051
1938-10-01,16.06114764
1938-11-01,16.1495718
1938-12-01,15.75648444
1939-01-01,15.59963441
1939-02-01,15.66469693
1939-03-01,15.72922374
1939-04-01,13.91699458
1939-05-01,14.5029295
1939-06-01,14.83382892
1939-07-01,15.2709526
1939-08-01,15.12008234
1939-09-01,16.45283558
1939-10-01,16.82120481
1939-11-01,16.59923851
1939-12-01,16.2804129
